"","Date","^GSPC","KL","RGLD","AU","SSRM","SA","GOOG","AMZN","AAPL","MSFT","INTC","SPG","CCI","PLD","PSA","EQR","EC","XOM","CVX","PTR","BP","TOT","JNJ","UNH","PFE","MRK","NVS","ABT"
"76","2017-04-01",2384.199951,6.890629,68.792564,11.300203,10.31,10.3,905.960022,924.98999,139.291885,65.942688,34.320187,150.657318,87.677048,51.340946,194.054428,60.551456,8.12506,75.379631,98.763489,67.308632,30.471703,46.213131,117.163437,169.968903,31.555799,58.702717,64.498337,41.78788
"77","2017-05-01",2411.800049,7.652955,78.536278,11.260657,9.5,10.25,964.859985,994.619995,148.125519,67.271942,34.282207,140.620163,94.211128,52.407211,199.587448,61.029633,8.250706,74.31794,95.783012,63.524017,32.096504,47.233665,121.69928,170.260468,30.374319,61.320934,68.467201,43.989571
"78","2017-06-01",2423.409912,9.365712,76.338974,9.609621,9.71,10.8,908.72998,968,140.227097,66.775978,32.270031,149.123718,92.848701,55.33234,193.266632,61.72348,8.214558,75.234093,97.552124,58.714203,31.295889,45.379517,126.36541,180.212891,31.551275,60.360291,69.890633,46.83165
"79","2017-07-01",2470.300049,10.278013,84.630119,9.906215,9.3,11.65,930.5,987.780029,144.813034,70.428162,33.92466,146.118393,94.094681,57.825306,192.376968,64.290565,8.440481,74.591057,102.09639,62.434155,31.738457,46.367821,126.776138,187.193344,31.147369,60.604885,71.339188,47.380802
"80","2017-08-01",2471.649902,12.944152,91.379456,10.024852,10.46,12.25,939.330017,980.599976,159.680908,72.433472,33.542084,144.59729,101.447868,60.250141,192.161728,63.430969,8.323001,71.133621,100.628387,62.153919,31.368139,47.621502,126.441811,194.112686,31.86124,60.585911,70.577232,49.348003
"81","2017-09-01",2519.360107,12.805394,84.286964,9.184505,10.61,12.2,959.109985,961.349976,150.650375,72.546715,36.693851,150.117538,93.533363,60.345234,200.256622,62.278538,8.576034,77.139511,110.97039,61.950996,35.289448,48.975842,124.977486,191.136108,33.860764,60.747204,71.883446,51.692375
"82","2017-10-01",2575.26001,11.674789,82.396286,9.19439,9.6,13.6,1016.640015,1105.280029,165.234512,81.01001,43.834114,144.821808,101.09063,61.82692,195.784058,64.02005,10.021941,78.428612,109.44986,64.32962,37.346397,51.682632,134.013611,205.938812,33.253735,52.643589,69.145424,52.535183
"83","2017-11-01",2584.840088,14.184321,81.259842,10.331331,8.32,10.75,1021.409973,1176.75,167.981247,81.974182,43.207779,150.807495,106.679504,63.406582,201.3293,63.601254,10.482824,78.372154,112.377586,66.333168,36.795429,52.452496,133.936722,223.523239,34.391907,52.81559,71.841583,54.87542
"84","2017-12-01",2673.610107,15.235746,80.670425,10.074285,8.79,11.3,1046.400024,1169.469971,166.014908,83.726814,44.743317,161.988708,104.800804,61.759903,197.437241,60.698177,13.221009,79.429863,119.339859,68.690285,39.16283,51.274517,135.13414,216.699478,34.667889,53.771179,70.300919,55.556862
"85","2018-01-01",2823.810059,14.987704,87.428978,11.151906,8.65,11.9,1169.939941,1450.890015,164.249084,92.996078,46.662552,154.093933,107.475639,62.75325,186.693665,59.105637,17.052662,82.905632,119.492371,77.608032,39.870991,54.569958,133.654358,232.741089,35.452747,57.100452,75.408531,60.511906
"86","2018-02-01",2713.830078,15.613433,79.58242,9.233936,8.3,10.65,1104.72998,1512.449951,174.735992,91.782364,47.77726,144.793793,104.892868,58.483608,185.434799,53.944324,15.823643,71.927521,106.689964,67.963501,36.20908,53.28231,125.617088,222.302246,34.754032,52.252941,69.790161,59.011295
"87","2018-03-01",2640.870117,15.355195,84.607437,9.382233,9.6,10.8,1031.790039,1447.339966,165.263504,89.755013,50.824116,147.419434,104.463997,60.709991,191.109222,59.115227,17.468361,71.578934,109.793076,68.493851,38.344372,54.222202,124.737534,210.349655,34.283871,52.493874,67.696869,58.610256
"88","2018-04-01",2648.050049,17.354069,87.494347,8.93575,10.22,10.45,1017.330017,1566.130005,162.781296,91.967659,50.375202,149.320068,97.043465,63.037983,194.38443,59.741497,19.953512,74.59137,120.450821,72.294708,42.175026,59.628719,123.121742,233.136932,35.365807,57.230366,66.564606,56.859379
